LapNum,ANT_LapTimeSec,ANT_Compound,ANT_SpeedST,ANT_SpeedI1,ANT_SpeedI2,ANT_SpeedFL,LEC_LapTimeSec,LEC_Compound,LEC_SpeedST,LEC_SpeedI1,LEC_SpeedI2,LEC_SpeedFL,IsCleanBoth,Delta_ANT_LEC_sec,Delta_ST_ANT_LEC_kmh
48,82.992,HARD,301.000,266.000,313.000,292.000,82.899,HARD,298.000,249.000,295.000,303.000,True,0.093,3.000
49,83.245,HARD,295.000,262.000,303.000,292.000,83.364,HARD,301.000,249.000,296.000,304.000,True,-0.119,-6.000
50,82.903,HARD,298.000,262.000,303.000,294.000,83.200,HARD,301.000,251.000,300.000,301.000,True,-0.297,-3.000
51,82.625,HARD,301.000,261.000,303.000,297.000,82.989,HARD,300.000,259.000,299.000,306.000,True,-0.364,1.000
52,82.558,HARD,302.000,271.000,303.000,295.000,83.049,HARD,304.000,256.000,301.000,303.000,True,-0.491,-2.000
53,82.613,HARD,301.000,264.000,307.000,300.000,83.014,HARD,305.000,255.000,292.000,299.000,True,-0.401,-4.000
54,82.842,HARD,305.000,262.000,312.000,298.000,83.045,HARD,294.000,257.000,291.000,298.000,True,-0.203,11.000
55,82.928,HARD,304.000,267.000,304.000,293.000,82.825,HARD,288.000,257.000,292.000,299.000,True,0.103,16.000
56,82.603,HARD,300.000,264.000,304.000,293.000,82.965,HARD,288.000,254.000,288.000,300.000,True,-0.362,12.000
57,82.417,HARD,301.000,264.000,303.000,298.000,83.098,HARD,289.000,258.000,291.000,293.000,True,-0.681,12.000
58,82.653,HARD,306.000,271.000,308.000,313.000,83.317,HARD,277.000,261.000,298.000,313.000,True,-0.664,29.000
