Driver,Team,Position,LapNumber,GapToLeader_sec
HAM,Ferrari,4,2,2.186
HAM,Ferrari,4,3,0.616
HAM,Ferrari,4,4,0.893
HAM,Ferrari,4,5,1.378
HAM,Ferrari,4,6,1.442
HAM,Ferrari,4,7,1.708
HAM,Ferrari,4,8,0.926
HAM,Ferrari,4,9,0.792
HAM,Ferrari,4,10,0.935
HAM,Ferrari,4,11,1.041
HAM,Ferrari,4,12,-9.941
HAM,Ferrari,4,13,-11.285
HAM,Ferrari,4,14,-10.052
HAM,Ferrari,4,15,-9.174
HAM,Ferrari,4,16,-8.685
HAM,Ferrari,4,17,-7.405
HAM,Ferrari,4,18,-4.787
HAM,Ferrari,4,19,-6.944
HAM,Ferrari,4,20,-6.243
HAM,Ferrari,4,21,-5.296
HAM,Ferrari,4,22,-4.679
HAM,Ferrari,4,23,-4.125
HAM,Ferrari,4,24,-3.262
HAM,Ferrari,4,25,-2.481
HAM,Ferrari,4,26,-1.489
HAM,Ferrari,4,27,-0.917
HAM,Ferrari,4,28,15.271
HAM,Ferrari,4,29,20.92
HAM,Ferrari,4,30,21.122
HAM,Ferrari,4,31,21.104
HAM,Ferrari,4,32,20.749
HAM,Ferrari,4,33,20.686
HAM,Ferrari,4,34,21.409
HAM,Ferrari,4,35,21.709
HAM,Ferrari,4,36,22.318
HAM,Ferrari,4,37,22.565
HAM,Ferrari,4,38,22.39
HAM,Ferrari,4,39,22.188
HAM,Ferrari,4,40,21.823
HAM,Ferrari,4,41,21.398
HAM,Ferrari,4,42,20.98
HAM,Ferrari,4,43,20.646
HAM,Ferrari,4,44,20.627
HAM,Ferrari,4,45,19.679
HAM,Ferrari,4,46,18.873
HAM,Ferrari,4,47,18.517
HAM,Ferrari,4,48,18.247
HAM,Ferrari,4,49,18.238
HAM,Ferrari,4,50,18.461
HAM,Ferrari,4,51,18.382
HAM,Ferrari,4,52,18.284
HAM,Ferrari,4,53,18.38
HAM,Ferrari,4,54,17.834
HAM,Ferrari,4,55,17.587
HAM,Ferrari,4,56,17.33
HAM,Ferrari,4,57,16.858
HAM,Ferrari,4,58,16.144
NOR,McLaren,5,1,3.764
NOR,McLaren,5,2,6.101
NOR,McLaren,5,3,6.52
