Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 01:30:13.936000,24.7,53.0,1012.3,False,35.9,142,2.9
0 days 01:31:13.955000,24.7,53.3,1012.1,False,35.9,133,1.9
0 days 01:32:13.969000,24.6,53.4,1012.2,False,35.8,126,2.8
0 days 01:33:13.968000,24.6,53.3,1012.1,False,35.7,119,3.8
0 days 01:34:13.955000,24.6,53.1,1012.2,False,35.9,123,2.7
0 days 01:35:13.957000,24.6,52.8,1012.1,False,36.4,111,2.9
0 days 01:36:13.973000,24.5,52.9,1012.2,False,36.6,95,1.4
0 days 01:37:13.959000,24.6,53.4,1012.1,False,37.0,114,2.1
0 days 01:38:13.974000,24.7,53.0,1012.0,False,37.5,113,1.8
0 days 01:39:13.975000,24.8,52.6,1012.1,False,37.6,147,3.1
0 days 01:40:13.976000,24.8,52.7,1012.0,False,37.4,106,3.3
0 days 01:41:13.991000,24.9,52.1,1012.0,False,37.1,105,3.3
0 days 01:42:14.010000,24.8,52.0,1012.0,False,36.5,98,2.5
0 days 01:43:14.010000,24.8,52.8,1012.0,False,36.3,98,4.0
0 days 01:44:14.010000,24.8,52.8,1012.1,False,36.1,120,3.0
0 days 01:45:13.993000,24.9,53.4,1012.0,False,36.1,115,2.8
0 days 01:46:14.017000,25.3,53.7,1012.0,False,36.1,123,2.5
0 days 01:47:14.013000,25.2,53.5,1011.9,False,37.3,184,1.0
0 days 01:48:14.012000,25.3,53.0,1011.8,False,37.6,131,4.2
0 days 01:49:14.015000,25.2,53.1,1012.0,False,37.0,125,4.0
0 days 01:50:14.014000,25.1,53.0,1012.0,False,37.2,147,3.0
0 days 01:51:14.029000,25.1,53.2,1011.8,False,37.7,107,2.5
0 days 01:52:14.060000,25.0,53.1,1011.9,False,37.3,123,3.0
0 days 01:53:14.063000,25.2,52.4,1011.9,False,37.2,105,3.7
0 days 01:54:14.077000,25.3,52.3,1011.8,False,37.6,113,3.0
0 days 01:55:14.079000,25.2,52.5,1011.8,False,37.8,119,3.8
0 days 01:56:14.097000,25.2,52.8,1011.8,False,37.0,120,3.8
0 days 01:57:14.090000,25.1,53.4,1011.8,False,36.7,112,1.7
0 days 01:58:14.098000,25.1,53.0,1011.8,False,35.9,115,3.0
0 days 01:59:14.099000,25.0,52.1,1011.8,False,35.7,98,2.5
0 days 02:00:14.101000,25.0,52.7,1011.8,False,35.5,140,3.1
0 days 02:01:14.114000,25.0,52.5,1011.8,False,35.4,116,1.7
0 days 02:02:14.114000,25.0,52.8,1011.7,False,35.5,136,3.6
0 days 02:03:14.119000,25.0,52.8,1011.8,False,35.4,96,2.8
0 days 02:04:14.108000,25.1,52.6,1011.6,False,35.5,99,1.3
0 days 02:05:14.119000,25.2,53.2,1011.6,False,36.1,100,4.3
0 days 02:06:14.136000,25.2,52.7,1011.7,False,36.2,93,1.0
0 days 02:07:14.151000,25.1,52.5,1011.7,False,36.6,110,2.0
0 days 02:08:14.136000,25.1,51.4,1011.7,False,36.2,104,4.2
0 days 02:09:14.150000,25.1,51.4,1011.6,False,35.7,118,3.9
0 days 02:10:14.153000,25.1,51.4,1011.6,False,35.6,140,2.9
0 days 02:11:14.138000,25.1,52.4,1011.6,False,35.4,106,4.0
0 days 02:12:14.161000,25.2,52.5,1011.7,False,35.8,116,2.2
0 days 02:13:14.158000,25.1,52.9,1011.6,False,36.8,110,2.4
0 days 02:14:14.173000,25.2,53.0,1011.6,False,36.5,116,2.6
0 days 02:15:14.164000,25.2,52.0,1011.6,False,36.4,110,2.2
0 days 02:16:14.192000,25.3,52.0,1011.6,False,35.9,125,2.3
0 days 02:17:14.191000,25.3,52.2,1011.5,False,35.6,106,3.1
0 days 02:18:14.207000,25.3,51.1,1011.5,False,35.3,121,3.0
0 days 02:19:14.237000,25.3,51.5,1011.6,False,35.0,131,3.6
0 days 02:20:14.244000,25.3,51.9,1011.5,False,34.8,115,3.0
0 days 02:21:14.264000,25.3,51.7,1011.5,False,34.7,130,4.2
0 days 02:22:14.293000,25.2,51.6,1011.6,False,34.6,126,3.2
0 days 02:23:14.291000,25.2,51.9,1011.5,False,34.6,127,3.7
0 days 02:24:14.277000,25.2,52.0,1011.5,False,34.4,105,2.9
0 days 02:25:14.290000,25.1,51.7,1011.5,False,34.5,103,2.9
0 days 02:26:14.290000,25.0,52.2,1011.5,False,34.3,114,2.5
0 days 02:27:14.318000,25.0,52.7,1011.5,False,34.5,117,1.9
