Driver,DriverNumber,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,Stint,Compound,TyreLife,FreshTyre,PitOutTime_sec,PitInTime_sec,Position,TrackStatus,IsPersonalBest,IsAccurate,Team
NOR,1,41.0,83.762,29.481,18.0,36.281,253.0,298.0,292.0,284.0,3.0,MEDIUM,7.0,True,,,6.0,1,False,True,McLaren
NOR,1,42.0,83.347,29.334,17.955,36.058,256.0,298.0,288.0,286.0,3.0,MEDIUM,8.0,True,,,5.0,1,False,True,McLaren
NOR,1,43.0,83.286,29.377,17.865,36.044,253.0,299.0,290.0,287.0,3.0,MEDIUM,9.0,True,,,5.0,1,True,True,McLaren
NOR,1,44.0,83.192,29.308,17.809,36.075,256.0,299.0,295.0,285.0,3.0,MEDIUM,10.0,True,,,5.0,1,True,True,McLaren
NOR,1,45.0,82.886,29.236,17.8,35.85,253.0,300.0,293.0,296.0,3.0,MEDIUM,11.0,True,,,5.0,1,True,True,McLaren
NOR,1,46.0,82.908,29.05,17.644,36.214,263.0,304.0,297.0,292.0,3.0,MEDIUM,12.0,True,,,5.0,1,False,True,McLaren
NOR,1,47.0,82.778,29.083,17.798,35.897,253.0,295.0,298.0,297.0,3.0,MEDIUM,13.0,True,,,5.0,1,True,True,McLaren
NOR,1,48.0,82.953,29.106,17.743,36.104,256.0,303.0,290.0,297.0,3.0,MEDIUM,14.0,True,,,5.0,1,False,True,McLaren
NOR,1,49.0,82.804,29.043,17.88,35.881,259.0,295.0,291.0,285.0,3.0,MEDIUM,15.0,True,,,5.0,1,False,True,McLaren
NOR,1,50.0,82.763,29.057,17.845,35.861,258.0,295.0,290.0,289.0,3.0,MEDIUM,16.0,True,,,5.0,1,True,True,McLaren
NOR,1,51.0,82.598,29.032,17.854,35.712,257.0,292.0,298.0,285.0,3.0,MEDIUM,17.0,True,,,5.0,1,True,True,McLaren
NOR,1,52.0,82.784,29.077,17.781,35.926,265.0,292.0,297.0,290.0,3.0,MEDIUM,18.0,True,,,5.0,1,False,True,McLaren
NOR,1,53.0,82.358,28.979,17.78,35.599,253.0,295.0,296.0,288.0,3.0,MEDIUM,19.0,True,,,5.0,1,True,True,McLaren
NOR,1,54.0,82.796,29.006,17.779,36.011,258.0,295.0,298.0,288.0,3.0,MEDIUM,20.0,True,,,5.0,1,False,True,McLaren
NOR,1,55.0,82.867,29.076,17.822,35.969,267.0,298.0,297.0,290.0,3.0,MEDIUM,21.0,True,,,5.0,1,False,True,McLaren
NOR,1,56.0,82.843,29.096,17.831,35.916,257.0,300.0,302.0,286.0,3.0,MEDIUM,22.0,True,,,5.0,1,False,True,McLaren
NOR,1,57.0,83.416,29.563,17.762,36.091,254.0,303.0,296.0,291.0,3.0,MEDIUM,23.0,True,,,5.0,1,False,True,McLaren
NOR,1,58.0,83.046,29.171,17.845,36.03,265.0,296.0,290.0,292.0,3.0,MEDIUM,24.0,True,,,5.0,1,False,True,McLaren
GAS,10,1.0,97.98,,18.682,38.91,230.0,305.0,288.0,214.0,1.0,MEDIUM,1.0,True,,,9.0,1,False,False,Alpine
GAS,10,2.0,87.281,31.136,17.996,38.149,259.0,296.0,294.0,264.0,1.0,MEDIUM,2.0,True,,,9.0,1,True,True,Alpine
GAS,10,3.0,86.371,30.613,17.818,37.94,256.0,308.0,298.0,270.0,1.0,MEDIUM,3.0,True,,,9.0,1,True,True,Alpine
GAS,10,4.0,85.894,30.427,17.771,37.696,254.0,314.0,308.0,278.0,1.0,MEDIUM,4.0,True,,,9.0,1,True,True,Alpine
GAS,10,5.0,87.04,30.983,17.647,38.41,266.0,324.0,302.0,253.0,1.0,MEDIUM,5.0,True,,,9.0,1,False,True,Alpine
GAS,10,6.0,85.989,30.696,17.8,37.493,262.0,312.0,296.0,262.0,1.0,MEDIUM,6.0,True,,,9.0,1,False,True,Alpine
GAS,10,7.0,85.079,29.873,17.815,37.391,268.0,303.0,296.0,288.0,1.0,MEDIUM,7.0,True,,,9.0,1,True,True,Alpine
GAS,10,8.0,84.964,29.969,17.697,37.298,264.0,308.0,303.0,293.0,1.0,MEDIUM,8.0,True,,,9.0,1,True,True,Alpine
GAS,10,9.0,85.441,30.052,17.651,37.738,260.0,318.0,297.0,300.0,1.0,MEDIUM,9.0,True,,,9.0,1,False,True,Alpine
GAS,10,10.0,86.669,30.475,17.8,38.394,258.0,312.0,299.0,292.0,1.0,MEDIUM,10.0,True,,,10.0,1,False,True,Alpine
GAS,10,11.0,104.821,30.082,17.797,56.942,267.0,313.0,,298.0,1.0,MEDIUM,11.0,True,,4701.012,12.0,16,False,False,Alpine
GAS,10,12.0,118.072,42.291,29.532,46.249,216.0,119.0,237.0,219.0,2.0,HARD,1.0,True,4719.918,,11.0,6,False,False,Alpine
GAS,10,13.0,111.634,40.653,30.489,40.492,201.0,133.0,269.0,240.0,2.0,HARD,2.0,True,,,11.0,671,False,False,Alpine
GAS,10,14.0,85.748,30.752,17.982,37.014,252.0,306.0,293.0,277.0,2.0,HARD,3.0,True,,,11.0,1,False,True,Alpine
GAS,10,15.0,84.823,29.928,17.954,36.941,251.0,308.0,298.0,288.0,2.0,HARD,4.0,True,,,11.0,1,True,True,Alpine
GAS,10,16.0,84.69,29.817,17.81,37.063,262.0,310.0,300.0,290.0,2.0,HARD,5.0,True,,,11.0,1,True,True,Alpine
GAS,10,17.0,85.203,29.868,17.693,37.642,253.0,318.0,297.0,297.0,2.0,HARD,6.0,True,,,11.0,1,False,True,Alpine
GAS,10,18.0,101.225,30.704,25.668,44.853,255.0,189.0,223.0,269.0,2.0,HARD,7.0,True,,,11.0,126,False,False,Alpine
GAS,10,19.0,112.95,41.395,25.752,45.803,236.0,212.0,300.0,231.0,2.0,HARD,8.0,True,,,10.0,671,False,False,Alpine
GAS,10,20.0,86.578,31.057,17.719,37.802,260.0,310.0,303.0,277.0,2.0,HARD,9.0,True,,,11.0,1,False,True,Alpine
GAS,10,21.0,85.678,30.591,17.995,37.092,267.0,307.0,289.0,259.0,2.0,HARD,10.0,True,,,10.0,1,False,True,Alpine
GAS,10,22.0,84.586,29.74,17.913,36.933,250.0,307.0,297.0,290.0,2.0,HARD,11.0,True,,,10.0,1,True,True,Alpine
GAS,10,23.0,84.499,29.633,17.823,37.043,258.0,307.0,290.0,298.0,2.0,HARD,12.0,True,,,10.0,1,True,True,Alpine
GAS,10,24.0,84.852,30.053,17.852,36.947,260.0,307.0,299.0,288.0,2.0,HARD,13.0,True,,,10.0,1,False,True,Alpine
GAS,10,25.0,84.54,29.816,17.886,36.838,263.0,305.0,298.0,295.0,2.0,HARD,14.0,True,,,10.0,1,False,True,Alpine
GAS,10,26.0,84.771,29.94,17.957,36.874,251.0,306.0,293.0,294.0,2.0,HARD,15.0,True,,,10.0,1,False,True,Alpine
GAS,10,27.0,84.661,29.68,17.895,37.086,270.0,304.0,297.0,288.0,2.0,HARD,16.0,True,,,10.0,1,False,True,Alpine
GAS,10,28.0,84.795,29.776,17.975,37.044,265.0,304.0,295.0,293.0,2.0,HARD,17.0,True,,,10.0,1,False,True,Alpine
GAS,10,29.0,85.096,29.838,18.01,37.248,265.0,303.0,292.0,294.0,2.0,HARD,18.0,True,,,10.0,1,False,True,Alpine
GAS,10,30.0,85.242,30.259,17.917,37.066,254.0,306.0,294.0,284.0,2.0,HARD,19.0,True,,,10.0,1,False,True,Alpine
