GP,Driver,Team,MedianPace,NormPace_pct,GapToLeader_pct,CleanLaps,StdPace
R01,ANT,Mercedes,83.0035,97.4754339969408,0.0,44,0.9060765500705346
R01,LEC,Ferrari,83.096,97.58406167703522,0.10862768009442902,42,0.8838183736140334
R01,RUS,Mercedes,83.09649999999999,97.58464885368437,0.10921485674357712,44,0.8731728128494255
R01,HAM,Ferrari,83.147,97.64395369524944,0.16851969830864277,42,0.861060328701284
R01,NOR,McLaren,83.43549999999999,97.98275462181417,0.5073206248733726,44,1.1408462438996188
R01,VER,Red Bull Racing,83.491,98.04793122987083,0.5724972329300329,42,1.164691415567202
R01,BOR,Audi,84.535,99.27395607331485,1.7985220763740557,43,0.9727445275282309
R01,BEA,Haas F1 Team,84.615,99.3679043371803,1.8924703402395124,43,0.8446419136816146
R01,LIN,Racing Bulls,84.797,99.58163663747418,2.1062026405333825,41,0.6468951247605894
R01,LAW,Racing Bulls,85.14250000000001,99.98737570204308,2.511941705102288,40,1.0098309124773648
R01,OCO,Haas F1 Team,85.164,100.0126242979569,2.5371903010161105,43,0.7493169987145424
R01,GAS,Alpine,85.177,100.02789089083504,2.552456893894245,43,0.799161952382056
R01,ALB,Williams,85.334,100.21226435867096,2.7368303617301706,41,0.8723582748825721
R01,HAD,Red Bull Racing,85.363,100.2463206043222,2.7708866073813994,9,0.2633367615810588
R01,COL,Alpine,85.633,100.56339599486806,3.087961997927266,37,1.2388821847002116
R01,SAI,Williams,85.698,100.63972895925872,3.164294962317925,35,1.1515396438075793
R01,STR,Aston Martin,86.3785,101.43887637876416,3.96344238182337,16,0.8166603129004483
R01,PER,Cadillac,87.05,102.22745461858472,4.752020621643922,21,0.5653563604362336
R01,ALO,Aston Martin,87.232,102.4411869188786,4.965752921937806,6,0.552768185288068
R01,BOT,Cadillac,87.67,102.9555536635419,5.480119666601112,6,0.1702931785676288
R02,ANT,Mercedes,96.176,97.98080645489925,0.0,45,0.7796205843585458
R02,RUS,Mercedes,96.407,98.21614132317283,0.23533486827358274,45,0.8890336275468302
R02,HAM,Ferrari,96.771,98.58697202469487,0.6061655697956212,45,0.8502274561978959
R02,LEC,Ferrari,96.833,98.65013549583324,0.669329040933988,45,0.7350618492495731
R02,GAS,Alpine,97.4295,99.25782921412417,1.27702275922492,44,0.9273022831379742
R02,BEA,Haas F1 Team,97.48,99.30927688013203,1.32847042523278,45,0.9927593079061785
R02,VER,Red Bull Racing,97.76,99.59453126591822,1.6137248110189688,33,0.9278349472799412
R02,LAW,Racing Bulls,97.981,99.81967847755658,1.838872022657327,43,0.8533802684697606
R02,HAD,Red Bull Racing,98.006,99.84514761914465,1.8643411642454026,43,0.5711445368285081
R02,COL,Alpine,98.31,100.15485238085535,2.1740459259560936,42,0.8955969664132085
R02,OCO,Haas F1 Team,98.334,100.17930275677989,2.1984963018806383,39,1.0889763371570538
R02,HUL,Audi,98.34200000000001,100.18745288208808,2.2066464271888293,40,1.1232896502957437
R02,LIN,Racing Bulls,98.503,100.35147415391512,2.3706676990158684,41,1.279490792387693
R02,SAI,Williams,98.708,100.56032111493714,2.579514660037887,43,0.7369046122331339
R02,BOT,Cadillac,99.744,101.61576234234602,3.6349558874467647,43,0.726023327894311
R02,PER,Cadillac,99.88,101.75431447258501,3.7735080176857565,41,0.6918780671159435
R02,ALO,Aston Martin,100.26,102.14144542472341,4.160638969824163,19,0.7543219952478007
R02,STR,Aston Martin,101.174,103.07259724118258,5.091790786283326,7,0.4360628504284766
