GP,Driver,Team,Stint,Compound,TyreLife,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,FreshTyre,LongRunID,CleanLapCount
R01_Australia,ALO,Aston Martin,1.0,SOFT,2.0,2.0,87.598,31.374,18.457,37.767,True,R01_Australia_ALO_S1,5
R01_Australia,ALO,Aston Martin,1.0,SOFT,4.0,4.0,87.424,31.163,18.447,37.814,True,R01_Australia_ALO_S1,5
R01_Australia,ALO,Aston Martin,1.0,SOFT,8.0,8.0,86.792,30.618,18.468,37.706,True,R01_Australia_ALO_S1,5
R01_Australia,ALO,Aston Martin,1.0,SOFT,9.0,9.0,87.04,30.452,18.65,37.938,True,R01_Australia_ALO_S1,5
R01_Australia,ALO,Aston Martin,1.0,SOFT,10.0,10.0,87.475,30.587,18.88,38.008,True,R01_Australia_ALO_S1,5
R01_Australia,ALO,Aston Martin,3.0,SOFT,4.0,15.0,85.713,29.879,18.494,37.34,False,R01_Australia_ALO_S3,5
R01_Australia,ALO,Aston Martin,3.0,SOFT,5.0,16.0,86.131,30.073,18.874,37.184,False,R01_Australia_ALO_S3,5
R01_Australia,ALO,Aston Martin,3.0,SOFT,6.0,17.0,86.376,30.067,19.021,37.288,False,R01_Australia_ALO_S3,5
R01_Australia,ALO,Aston Martin,3.0,SOFT,7.0,18.0,85.908,30.043,18.796,37.069,False,R01_Australia_ALO_S3,5
R01_Australia,ALO,Aston Martin,3.0,SOFT,9.0,20.0,86.641,30.312,18.834,37.495,False,R01_Australia_ALO_S3,5
R01_Australia,ANT,Mercedes,1.0,MEDIUM,2.0,2.0,87.129,30.82,18.035,38.274,True,R01_Australia_ANT_S1,9
R01_Australia,ANT,Mercedes,1.0,MEDIUM,3.0,3.0,85.463,30.586,18.042,36.835,True,R01_Australia_ANT_S1,9
R01_Australia,ANT,Mercedes,1.0,MEDIUM,4.0,4.0,85.411,29.869,17.795,37.747,True,R01_Australia_ANT_S1,9
R01_Australia,ANT,Mercedes,1.0,MEDIUM,5.0,5.0,84.499,29.761,18.073,36.665,True,R01_Australia_ANT_S1,9
R01_Australia,ANT,Mercedes,1.0,MEDIUM,6.0,6.0,84.024,29.534,17.861,36.629,True,R01_Australia_ANT_S1,9
R01_Australia,ANT,Mercedes,1.0,MEDIUM,7.0,7.0,83.835,29.537,18.052,36.246,True,R01_Australia_ANT_S1,9
R01_Australia,ANT,Mercedes,1.0,MEDIUM,8.0,8.0,83.683,29.573,17.945,36.165,True,R01_Australia_ANT_S1,9
R01_Australia,ANT,Mercedes,1.0,MEDIUM,9.0,9.0,83.908,29.601,17.91,36.397,True,R01_Australia_ANT_S1,9
R01_Australia,ANT,Mercedes,1.0,MEDIUM,10.0,10.0,84.037,29.723,17.879,36.435,True,R01_Australia_ANT_S1,9
R01_Australia,ANT,Mercedes,2.0,HARD,3.0,15.0,83.287,29.346,17.73,36.211,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,4.0,16.0,83.618,29.345,17.992,36.281,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,5.0,17.0,83.26,29.46,17.93,35.87,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,9.0,21.0,82.781,28.955,17.927,35.899,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,10.0,22.0,82.862,28.856,17.864,36.142,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,11.0,23.0,82.582,28.958,17.767,35.857,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,12.0,24.0,83.222,29.329,17.828,36.065,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,13.0,25.0,84.545,29.326,17.855,37.364,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,14.0,26.0,83.138,29.311,17.911,35.916,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,15.0,27.0,83.103,29.187,17.915,36.001,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,16.0,28.0,83.03,29.174,17.872,35.984,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,17.0,29.0,82.968,29.145,17.888,35.935,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,18.0,30.0,82.889,29.144,17.803,35.942,True,R01_Australia_ANT_S2,40
R01_Australia,ANT,Mercedes,2.0,HARD,19.0,31.0,82.88,29.175,17.772,35.933,True,R01_Australia_ANT_S2,40
