Driver,Team,BestLap,Laps,BestS1,BestS2,BestS3
PIA,McLaren,90.133,24,32.412,39.99,17.731
ANT,Mercedes,90.225,19,32.653,39.877,17.614
RUS,Mercedes,90.338,22,32.47,40.001,17.785
NOR,McLaren,90.649,12,32.627,40.243,17.684
LEC,Ferrari,90.846,23,32.811,40.15,17.737
HAM,Ferrari,90.98,19,32.774,40.262,17.811
HUL,Audi,91.441,22,32.946,40.513,17.725
ALB,Williams,91.496,24,33.146,40.589,17.761
BEA,Haas F1 Team,91.498,21,32.966,40.642,17.867
VER,Red Bull Racing,91.509,24,33.053,40.72,17.663
OCO,Haas F1 Team,91.532,24,33.058,40.601,17.873
LAW,Racing Bulls,91.59,24,33.131,40.425,17.908
SAI,Williams,91.608,24,33.25,40.617,17.741
GAS,Alpine,91.734,24,33.43,40.417,17.746
HAD,Red Bull Racing,91.759,23,33.218,40.775,17.733
BOR,Audi,91.933,8,33.175,40.884,17.792
COL,Alpine,92.438,22,33.525,40.839,17.863
BOT,Cadillac,92.615,24,33.664,41.069,17.882
ALO,Aston Martin,93.596,19,33.924,41.483,18.022
PER,Cadillac,93.689,10,33.729,41.347,18.365
STR,Aston Martin,93.951,17,34.104,41.662,18.012
