Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:40:46.927000,18.5,52.8,1011.8,False,35.8,129,3.0
0 days 00:41:46.925000,18.4,51.6,1011.8,False,35.4,118,2.4
0 days 00:42:46.924000,18.4,53.3,1011.8,False,35.3,121,2.9
0 days 00:43:46.925000,18.5,53.0,1011.8,False,35.8,130,3.4
0 days 00:44:46.924000,18.6,51.6,1011.7,False,36.5,121,2.8
0 days 00:45:46.926000,18.6,52.3,1011.8,False,36.3,133,2.1
0 days 00:46:46.929000,18.6,51.9,1011.7,False,36.1,119,1.9
0 days 00:47:46.928000,18.6,53.6,1011.8,False,35.7,105,1.8
0 days 00:48:46.929000,18.7,53.6,1011.8,False,36.6,121,2.0
0 days 00:49:46.934000,18.8,51.0,1011.8,False,36.7,147,3.0
0 days 00:50:46.931000,18.8,52.2,1011.7,False,35.9,104,2.0
0 days 00:51:46.934000,18.8,53.0,1011.8,False,36.9,120,3.1
0 days 00:52:46.932000,18.8,53.5,1011.8,False,36.7,130,1.5
0 days 00:53:46.935000,18.8,52.5,1011.8,False,36.6,121,2.0
0 days 00:54:46.934000,18.8,52.6,1011.8,False,36.2,113,3.0
0 days 00:55:46.934000,18.9,53.3,1011.7,False,36.8,150,3.2
0 days 00:56:46.936000,18.8,53.1,1011.8,False,36.4,121,2.5
0 days 00:57:46.937000,18.7,53.5,1011.8,False,36.6,118,1.8
0 days 00:58:46.936000,18.8,53.8,1011.8,False,36.7,119,2.8
0 days 00:59:46.935000,18.8,53.7,1011.9,False,36.6,131,2.3
0 days 01:00:46.939000,18.9,53.4,1011.8,False,36.7,122,2.4
0 days 01:01:46.940000,19.0,54.1,1011.9,False,36.6,151,2.3
0 days 01:02:46.938000,18.9,53.9,1011.7,False,36.4,122,2.0
0 days 01:03:46.937000,18.8,55.5,1011.7,False,36.7,124,2.1
0 days 01:04:46.944000,18.9,55.3,1011.8,False,36.8,111,1.8
0 days 01:05:46.939000,18.9,54.3,1011.7,False,36.7,143,1.5
0 days 01:06:46.943000,18.9,53.9,1011.8,False,36.3,120,1.7
0 days 01:07:46.945000,18.9,54.5,1011.7,False,36.0,112,2.1
0 days 01:08:46.951000,19.0,54.0,1011.8,False,36.5,104,0.4
0 days 01:09:46.945000,19.1,54.4,1011.8,False,36.4,135,2.9
0 days 01:10:46.946000,19.1,53.2,1011.8,False,36.4,128,2.3
0 days 01:11:46.945000,19.2,52.0,1011.8,False,36.0,95,1.4
0 days 01:12:46.947000,19.3,52.1,1011.8,False,35.7,120,2.6
0 days 01:13:46.948000,19.1,51.3,1011.8,False,35.7,130,1.3
0 days 01:14:46.950000,19.0,51.5,1011.8,False,35.4,104,1.2
0 days 01:15:46.949000,19.0,51.7,1011.8,False,35.3,144,2.7
0 days 01:16:46.955000,19.1,51.2,1011.7,False,34.6,120,2.3
0 days 01:17:46.956000,19.1,50.8,1011.8,False,34.3,120,2.5
0 days 01:18:46.950000,19.0,51.2,1011.8,False,34.6,126,2.0
0 days 01:19:46.951000,19.1,50.7,1011.7,False,34.0,142,1.5
0 days 01:20:46.954000,19.0,51.0,1011.7,False,34.0,127,2.5
0 days 01:21:46.957000,19.1,50.5,1011.9,False,33.7,82,1.3
0 days 01:22:46.959000,19.0,49.6,1011.9,False,34.1,117,0.6
0 days 01:23:46.956000,19.0,50.6,1011.8,False,33.8,151,2.0
0 days 01:24:46.955000,19.0,50.6,1011.8,False,33.6,56,1.2
0 days 01:25:46.957000,18.9,50.7,1011.7,False,33.3,133,1.2
0 days 01:26:46.955000,18.8,51.4,1011.6,False,33.2,98,1.2
0 days 01:27:46.957000,18.8,50.8,1011.8,False,33.4,44,0.7
0 days 01:28:46.962000,18.8,49.7,1011.7,False,33.4,135,2.1
0 days 01:29:46.956000,18.9,47.8,1011.8,False,32.9,133,2.6
0 days 01:30:46.965000,18.8,48.1,1011.7,False,32.5,126,2.3
0 days 01:31:46.960000,18.8,48.7,1011.7,False,32.8,100,1.3
0 days 01:32:46.954000,18.8,48.5,1011.7,False,32.2,24,1.7
0 days 01:33:46.959000,18.7,48.8,1011.7,False,32.5,78,1.2
0 days 01:34:46.962000,18.7,49.2,1011.7,False,32.7,131,2.2
0 days 01:35:46.964000,18.6,49.2,1011.7,False,32.2,58,1.8
0 days 01:36:46.966000,18.6,49.9,1011.7,False,32.6,116,0.9
0 days 01:37:46.963000,18.6,50.4,1011.6,False,32.9,163,0.7
0 days 01:38:46.963000,18.6,49.7,1011.7,False,32.7,165,1.6
0 days 01:39:46.965000,18.5,51.5,1011.7,False,32.7,107,0.4
0 days 01:40:46.954000,18.6,51.9,1011.6,False,32.7,124,1.5
0 days 01:41:46.969000,18.5,51.1,1011.6,False,32.7,152,2.1
0 days 01:42:46.968000,18.5,51.1,1011.7,False,32.9,121,1.3
0 days 01:43:46.969000,18.4,52.5,1011.7,False,32.9,182,0.7
0 days 01:44:46.968000,18.5,51.8,1011.7,False,32.8,120,1.5
0 days 01:45:46.971000,18.4,49.8,1011.7,False,32.7,154,2.4
0 days 01:46:46.972000,18.5,50.7,1011.7,False,32.3,106,2.0
0 days 01:47:46.974000,18.4,50.4,1011.7,False,32.6,137,2.3
0 days 01:48:46.974000,18.4,49.5,1011.7,False,32.3,144,3.1
0 days 01:49:46.973000,18.3,50.5,1011.7,False,32.2,136,2.5
0 days 01:50:47.144000,18.4,48.2,1011.7,False,32.6,148,2.6
0 days 01:51:46.975000,18.3,47.7,1011.7,False,32.3,122,2.3
0 days 01:52:46.977000,18.3,47.8,1011.7,False,32.4,126,2.2
0 days 01:53:46.974000,18.4,48.2,1011.7,False,32.4,132,2.6
0 days 01:54:46.976000,18.4,47.6,1011.7,False,32.1,135,0.8
0 days 01:55:46.978000,18.4,48.4,1011.7,False,31.9,125,3.5
0 days 01:56:46.979000,18.4,49.7,1011.7,False,32.0,129,1.9
0 days 01:57:46.984000,18.5,49.6,1011.7,False,31.7,344,1.4
0 days 01:58:46.981000,18.5,50.7,1011.6,False,32.0,133,2.0
0 days 01:59:46.981000,18.5,50.0,1011.7,False,31.5,140,1.1
0 days 02:00:46.983000,18.5,50.2,1011.7,False,31.5,188,0.6
0 days 02:01:46.992000,18.5,51.0,1011.6,False,31.4,113,1.2
0 days 02:02:46.980000,18.3,51.1,1011.6,False,31.4,154,2.4
0 days 02:03:46.981000,18.2,51.7,1011.7,False,31.3,135,2.2
0 days 02:04:46.983000,18.1,52.4,1011.7,False,31.1,170,0.8
0 days 02:05:46.988000,18.0,53.7,1011.6,False,31.0,138,1.5
0 days 02:06:46.985000,17.9,54.3,1011.6,False,30.9,116,1.0
0 days 02:07:46.984000,17.9,55.6,1011.6,False,30.7,88,0.8
0 days 02:08:46.986000,17.9,55.8,1011.7,False,31.1,119,1.8
0 days 02:09:46.985000,17.9,54.7,1011.5,False,30.9,131,1.4
0 days 02:10:46.990000,17.8,55.5,1011.6,False,31.0,167,1.0
0 days 02:11:46.999000,17.8,55.9,1011.6,False,30.5,87,1.3
0 days 02:12:46.994000,17.8,55.7,1011.6,False,30.7,140,0.6
0 days 02:13:46.998000,18.1,55.4,1011.6,False,30.6,153,2.5
0 days 02:14:46.992000,17.8,55.6,1011.7,False,30.0,100,1.5
0 days 02:15:46.993000,17.9,57.1,1011.7,False,30.4,140,0.9
0 days 02:16:47.003000,17.9,57.3,1011.7,False,30.5,9,0.5
0 days 02:17:46.992000,18.0,57.2,1011.7,False,30.8,133,0.9
0 days 02:18:46.995000,18.0,56.5,1011.7,False,30.9,129,1.1
0 days 02:19:46.994000,18.0,56.6,1011.7,False,29.6,83,2.0
0 days 02:20:46.992000,18.0,56.6,1011.8,False,30.2,104,0.9
0 days 02:21:47.001000,17.9,57.4,1011.8,False,30.8,91,0.8
0 days 02:22:46.995000,17.9,56.8,1011.7,False,30.5,38,0.9
